Entity,Code,Year,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:15-24 years of age,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:25-34 years of age,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:35-44 years of age,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:55-64 years,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:75-84 years,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:65-74 years,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:45-54 years,Indicator:Crude suicide rates (per 100 000 population) - Sex:Both sexes - Age Group:85+ years of age,,,,,,,,total rate
Seychelles,SYC,2019,7.59,11.64,10.48,10.34,15.84,12.83,10.37,19.21,,,,,,,,98.3
Sierra Leone,SLE,2019,3.73,6.37,10.41,26.16,50.64,39.86,17.88,125.08,,,,,,,,280.13
Singapore,SGP,2019,12.92,14.26,10.85,13.88,17.86,12.02,10.36,32.18,,,,,,,,124.33
Slovakia,SVK,2019,5.67,8.68,11.93,19.64,18.74,17.41,19.64,25.85,,,,,,,,127.56
Slovenia,SVN,2019,7.67,15.24,16.73,25.53,38.03,34.69,24.57,35.81,,,,,,,,198.27
Solomon Islands,SLB,2019,24.22,31.02,25.99,16.54,18.06,16.03,16.83,36.99,,,,,,,,185.68
Somalia,SOM,2019,5.35,7.37,12.78,37.97,63.69,50.3,23.69,153.92,,,,,,,,355.07
South Africa,ZAF,2019,13.57,47.27,47.86,21.54,20.08,16.92,34.71,54.18,,,,,,,,256.13
South Korea,KOR,2019,14.28,22.4,29.45,37.1,69.89,38.18,34.4,113.26,,,,,,,,358.96
South Sudan,SSD,2019,2.45,3.39,4.8,12.81,46.81,27.3,8.16,114.18,,,,,,,,219.9
Spain,ESP,2019,2.71,4.87,7.18,10.3,16.22,10.26,10.24,13.57,,,,,,,,75.35
Sri Lanka,LKA,2019,14.08,12.77,13.18,21.93,38.87,32.42,17.14,43.44,,,,,,,,193.83
Sudan,SDN,2019,5.3,7.37,6.8,5.7,6.98,6.31,5.72,15.12,,,,,,,,59.3
Suriname,SUR,2019,15.59,46.16,25.75,50.54,72.66,47.26,29.76,131.61,,,,,,,,419.33
Sweden,SWE,2019,10.98,19.48,16.12,19.86,19.09,16.3,17.97,24.37,,,,,,,,144.17
Switzerland,CHE,2019,6.55,7.83,10.47,21.03,32.36,21.15,17.66,35.77,,,,,,,,152.82
Syria,SYR,2019,2.25,2.95,2.83,2.84,3.44,3.09,2.74,6.07,,,,,,,,26.21
Tajikistan,TJK,2019,5,6.38,8.1,7.32,12.51,9.1,7.64,28.46,,,,,,,,84.51
Tanzania,TZA,2019,3.27,4.82,6.15,17.65,50.18,31.53,9.95,159.87,,,,,,,,283.42
Thailand,THA,2019,6.84,15.66,11.9,8.48,13.85,11.69,8.22,18.54,,,,,,,,95.18
Togo,TGO,2019,5.31,9.09,13.71,33.56,66.19,50.79,24.5,220.89,,,,,,,,424.04
Tonga,TON,2019,5.92,5.52,4.95,6.38,10.22,7.53,4.33,19.92,,,,,,,,64.77
Trinidad and Tobago,TTO,2019,12.91,12.68,10.52,8.77,9.51,7.83,10.21,13.2,,,,,,,,85.63
Tunisia,TUN,2019,3.51,5,4.45,3.73,6.64,4.73,3.25,12.18,,,,,,,,43.49
Turkey,TUR,2019,2.86,2.8,3.18,2.94,4.31,3.45,3.16,6.99,,,,,,,,29.69
Turkmenistan,TKM,2019,8.19,8.19,8.71,6.45,10.01,8.94,7.44,20.34,,,,,,,,78.27
Uganda,UGA,2019,3.36,4.56,6.21,25.92,64.05,42.54,14.66,155.21,,,,,,,,316.51
Ukraine,UKR,2019,12.31,23.77,30.61,24.72,30.59,25.14,30.32,58.28,,,,,,,,235.74
United Arab Emirates,ARE,2019,5.67,8.11,7.88,7.05,9.21,6.12,7.36,17.06,,,,,,,,68.46
United Kingdom,GBR,2019,4.94,8.88,11.74,11.15,6.99,6.83,13.48,8.03,,,,,,,,72.04
United States,USA,2019,14.4,23.84,19.34,21.27,19.6,17.25,19.98,19.44,,,,,,,,155.12
Uruguay,URY,2019,20.93,26.62,24.01,29.02,39.91,29.96,23.12,38.94,,,,,,,,232.51
Uzbekistan,UZB,2019,14.09,9.27,11.48,8.23,8.73,8.12,10.74,15.25,,,,,,,,85.91
Vanuatu,VUT,2019,31.4,33.43,28.84,22.19,29.2,23.64,19.26,130.18,,,,,,,,318.14
Venezuela,VEN,2019,2.78,2.61,2.49,2.76,6.31,3.74,2.24,7.32,,,,,,,,30.25
Vietnam,VNM,2019,5.36,7.21,7.28,15.19,24.44,22.88,8.43,21.44,,,,,,,,112.23
Yemen,YEM,2019,7.66,9.85,11.18,8.3,7.91,7.99,10,18.52,,,,,,,,81.41
Zambia,ZMB,2019,4.65,6.98,15.89,35.29,57.41,45.14,26.83,151.66,,,,,,,,343.85
Zimbabwe,ZWE,2019,11.46,13.5,26.88,51.49,88.29,63.08,48.36,183.93,,,,,,,,486.99
